timestamp_sent,field,channel,reading
1668546475.278768,A,X,-0.029296875
1668546475.278768,A,Y,0.0323486328125
1668546475.278768,A,Z,-0.943603515625
1668546475.279768,A,X,-0.0311279296875
1668546475.279768,A,Y,0.0286865234375
1668546475.279768,A,Z,-0.9527587890625
1668546475.275451,B,X,0.00732421875
1668546475.275451,B,Y,0.03448486328125
1668546475.275451,B,Z,-0.87982177734375
1668546475.276449,B,X,0.00885009765625
1668546475.276449,B,Y,0.03387451171875
1668546475.276449,B,Z,-0.87982177734375
1668546475.277447,B,X,0.0042724609375
1668546475.277447,B,Y,0.0341796875
1668546475.277447,B,Z,-0.8782958984375
1668546475.278445,B,X,-0.0006103515625
1668546475.278445,B,Y,0.03936767578125
1668546475.278445,B,Z,-0.902099609375
1668546475.279443,B,X,0.00152587890625
1668546475.279443,B,Y,0.0390625
1668546475.279443,B,Z,-0.92803955078125
1668546475.280441,B,X,0.0030517578125
1668546475.280441,B,Y,0.0396728515625
1668546475.280441,B,Z,-0.9246826171875
1668546475.281439,B,X,0.0054931640625
1668546475.281439,B,Y,0.04638671875
1668546475.281439,B,Z,-0.8978271484375
1668546475.277042,D,X,-0.01190185546875
1668546475.277042,D,Y,0.01861572265625
1668546475.277042,D,Z,-0.95367431640625
1668546475.278034,D,X,-0.00823974609375
1668546475.278034,D,Y,0.01708984375
1668546475.278034,D,Z,-0.95184326171875
1668546475.279026,D,X,-0.0115966796875
1668546475.279026,D,Y,0.01678466796875
1668546475.279026,D,Z,-0.94696044921875
1668546475.280018,D,X,-0.01190185546875
1668546475.280018,D,Y,0.01251220703125
1668546475.280018,D,Z,-0.947265625
1668546475.28101,D,X,-0.001220703125
1668546475.28101,D,Y,0.01617431640625
1668546475.28101,D,Z,-0.93994140625
1668546475.282002,D,X,0.00030517578125
1668546475.282002,D,Y,0.01434326171875
1668546475.282002,D,Z,-0.92315673828125
1668546475.282994,D,X,-0.00152587890625
1668546475.282994,D,Y,0.00946044921875
1668546475.282994,D,Z,-0.91400146484375
1668546475.280769,A,X,-0.03082275390625
1668546475.280769,A,Y,0.0311279296875
1668546475.280769,A,Z,-0.95489501953125
1668546475.281769,A,X,-0.02716064453125
1668546475.281769,A,Y,0.04058837890625
1668546475.281769,A,Z,-0.95733642578125
1668546475.282769,A,X,-0.0250244140625
1668546475.282769,A,Y,0.0390625
1668546475.282769,A,Z,-0.95550537109375
1668546475.283769,A,X,-0.02044677734375
1668546475.283769,A,Y,0.0396728515625
1668546475.283769,A,Z,-0.95245361328125
1668546475.284769,A,X,-0.01617431640625
1668546475.284769,A,Y,0.04058837890625
1668546475.284769,A,Z,-0.95001220703125
1668546475.285769,A,X,-0.013427734375
1668546475.285769,A,Y,0.04058837890625
1668546475.285769,A,Z,-0.94573974609375
1668546475.286769,A,X,-0.01678466796875
1668546475.286769,A,Y,0.03997802734375
1668546475.286769,A,Z,-0.94696044921875
1668546475.282439,B,X,0.00946044921875
1668546475.282439,B,Y,0.047607421875
1668546475.282439,B,Z,-0.882568359375
1668546475.283437,B,X,0.01129150390625
1668546475.283437,B,Y,0.045166015625
1668546475.283437,B,Z,-0.87738037109375
1668546475.284435,B,X,0.0146484375
1668546475.284435,B,Y,0.0482177734375
1668546475.284435,B,Z,-0.88348388671875
1668546475.285433,B,X,0.02044677734375
1668546475.285433,B,Y,0.0494384765625
1668546475.285433,B,Z,-0.89385986328125
1668546475.286431,B,X,0.0201416015625
1668546475.286431,B,Y,0.0494384765625
1668546475.286431,B,Z,-0.8935546875
1668546475.287429,B,X,0.01800537109375
1668546475.287429,B,Y,0.05523681640625
1668546475.287429,B,Z,-0.88226318359375
1668546475.288427,B,X,0.0146484375
1668546475.288427,B,Y,0.047607421875
1668546475.288427,B,Z,-0.88348388671875
1668546475.283987,D,X,0.0048828125
1668546475.283987,D,Y,0.00274658203125
1668546475.283987,D,Z,-0.9033203125
1668546475.284979,D,X,0.00640869140625
1668546475.284979,D,Y,0.0006103515625
1668546475.284979,D,Z,-0.8892822265625
1668546475.285971,D,X,0.00335693359375
1668546475.285971,D,Y,0.00152587890625
1668546475.285971,D,Z,-0.897216796875
1668546475.286963,D,X,0.00396728515625
1668546475.286963,D,Y,0.0018310546875
1668546475.286963,D,Z,-0.90301513671875
1668546475.287955,D,X,0.0030517578125
1668546475.287955,D,Y,0.0067138671875
1668546475.287955,D,Z,-0.90087890625
1668546475.288947,D,X,-0.001220703125
1668546475.288947,D,Y,0.00732421875
1668546475.288947,D,Z,-0.91278076171875
1668546475.289939,D,X,0.0006103515625
1668546475.289939,D,Y,0.01495361328125
1668546475.289939,D,Z,-0.92803955078125
1668546475.287769,A,X,-0.01678466796875
1668546475.287769,A,Y,0.04058837890625
1668546475.287769,A,Z,-0.94757080078125
1668546475.288769,A,X,-0.02288818359375
1668546475.288769,A,Y,0.03814697265625
1668546475.288769,A,Z,-0.94573974609375
1668546475.289769,A,X,-0.02685546875
1668546475.289769,A,Y,0.03509521484375
1668546475.289769,A,Z,-0.94329833984375
1668546475.290769,A,X,-0.02960205078125
1668546475.290769,A,Y,0.035400390625
1668546475.290769,A,Z,-0.943603515625
1668546475.291769,A,X,-0.02838134765625
1668546475.291769,A,Y,0.03082275390625
1668546475.291769,A,Z,-0.9381103515625
1668546475.292769,A,X,-0.03509521484375
1668546475.292769,A,Y,0.02838134765625
1668546475.292769,A,Z,-0.9320068359375
1668546475.293769,A,X,-0.03509521484375
1668546475.293769,A,Y,0.02960205078125
1668546475.293769,A,Z,-0.93017578125
1668546475.289421,B,X,0.0103759765625
1668546475.289421,B,Y,0.045166015625
1668546475.289421,B,Z,-0.887451171875
1668546475.290419,B,X,0.00457763671875
1668546475.290419,B,Y,0.0457763671875
1668546475.290419,B,Z,-0.89080810546875
1668546475.291417,B,X,0.00457763671875
1668546475.291417,B,Y,0.040283203125
1668546475.291417,B,Z,-0.904541015625
1668546475.292415,B,X,0.00396728515625
1668546475.292415,B,Y,0.03936767578125
1668546475.292415,B,Z,-0.897216796875
1668546475.293413,B,X,-0.0030517578125
1668546475.293413,B,Y,0.037841796875
1668546475.293413,B,Z,-0.88134765625
1668546475.294411,B,X,0.001220703125
1668546475.294411,B,Y,0.03936767578125
1668546475.294411,B,Z,-0.88165283203125
1668546475.295409,B,X,0.006103515625
1668546475.295409,B,Y,0.03753662109375
1668546475.295409,B,Z,-0.87738037109375
1668546475.29094,D,X,-0.00396728515625
1668546475.29094,D,Y,0.0140380859375
1668546475.29094,D,Z,-0.931396484375
1668546475.291932,D,X,-0.006103515625
1668546475.291932,D,Y,0.01556396484375
1668546475.291932,D,Z,-0.93414306640625
1668546475.292924,D,X,-0.0042724609375
1668546475.292924,D,Y,0.01800537109375
1668546475.292924,D,Z,-0.9332275390625
1668546475.293916,D,X,-0.00152587890625
1668546475.293916,D,Y,0.02044677734375
1668546475.293916,D,Z,-0.93353271484375
1668546475.294908,D,X,-0.00732421875
1668546475.294908,D,Y,0.01983642578125
1668546475.294908,D,Z,-0.933837890625
1668546475.2959,D,X,-0.0067138671875
1668546475.2959,D,Y,0.0152587890625
1668546475.2959,D,Z,-0.928955078125
1668546475.296892,D,X,-0.00579833984375
1668546475.296892,D,Y,0.0128173828125
1668546475.296892,D,Z,-0.91766357421875
1668546475.29477,A,X,-0.03326416015625
1668546475.29477,A,Y,0.03082275390625
1668546475.29477,A,Z,-0.92437744140625
1668546475.29577,A,X,-0.03509521484375
